11002,北海道,ほっかいどう,札幌市,さっぽろし,http://www.city.sapporo.jp/
12025,北海道,ほっかいどう,函館市,はこだてし,http://www.city.hakodate.hokkaido.jp/
12033,北海道,ほっかいどう,小樽市,おたるし,http://www.city.otaru.lg.jp/
12041,北海道,ほっかいどう,旭川市,あさひかわし,http://www.city.asahikawa.hokkaido.jp/
12050,北海道,ほっかいどう,室蘭市,むろらんし,http://www.city.muroran.lg.jp/
12068,北海道,ほっかいどう,釧路市,くしろし,http://www.city.kushiro.lg.jp/
12076,北海道,ほっかいどう,帯広市,おびひろし,http://www.city.obihiro.hokkaido.jp/
12084,北海道,ほっかいどう,北見市,きたみし,http://www.city.kitami.lg.jp/
12092,北海道,ほっかいどう,夕張市,ゆうばりし,http://www.city.yubari.lg.jp/
12106,北海道,ほっかいどう,岩見沢市,いわみざわし,http://www.city.iwamizawa.hokkaido.jp/
12114,北海道,ほっかいどう,網走市,あばしりし,http://www.city.abashiri.hokkaido.jp/
12122,北海道,ほっかいどう,留萌市,るもいし,http://www.e-rumoi.jp/
12131,北海道,ほっかいどう,苫小牧市,とまこまいし,http://www.city.tomakomai.hokkaido.jp/
12149,北海道,ほっかいどう,稚内市,わっかないし,http://www.city.wakkanai.hokkaido.jp/
12157,北海道,ほっかいどう,美唄市,びばいし,http://www.city.bibai.hokkaido.jp/
12165,北海道,ほっかいどう,芦別市,あしべつし,http://www.city.ashibetsu.hokkaido.jp/
12173,北海道,ほっかいどう,江別市,えべつし,http://www.city.ebetsu.hokkaido.jp/
12181,北海道,ほっかいどう,赤平市,あかびらし,http://www.city.akabira.hokkaido.jp/
12190,北海道,ほっかいどう,紋別市,もんべつし,http://mombetsu.jp/
12203,北海道,ほっかいどう,士別市,しべつし,http://www.city.shibetsu.lg.jp/www/index.html
12211,北海道,ほっかいどう,名寄市,なよろし,http://www.city.nayoro.lg.jp/
12220,北海道,ほっかいどう,三笠市,みかさし,http://www.city.mikasa.hokkaido.jp/
